,news,url,relevance
0,Philcoin Held One of the Biggest Crypto Adoption Events in South Africa,https://finance.yahoo.com/news/philcoin-held-one-biggest-crypto-085713928.html,1
1,Bitcoin's Inverse Correlation With Inflation-Adjusted Bond Yield Hits Record High,https://finance.yahoo.com/news/bitcoins-inverse-correlation-inflation-adjusted-083406631.html,1
2,Singapore's crypto aspirations shaken by Three Arrows collapse,https://finance.yahoo.com/news/singapores-crypto-aspirations-shaken-three-073639185.html,1
3,"Factbox - Singapore's rise, and falter, as Asia cryptocurrency hub",https://finance.yahoo.com/news/factbox-singapores-rise-falter-asia-072345847.html,1
4,Voyager crypto refund plan unconfirmed; fiat to be returned in full,https://finance.yahoo.com/news/voyager-crypto-refund-plan-unconfirmed-065917619.html,1
5,Cryptoverse: Shrimps and whales keep bitcoin afloat,https://finance.yahoo.com/news/cryptoverse-shrimps-whales-keep-bitcoin-051220780.html,1
6,Will be right back...,https://finance.yahoo.com/m/99864d2f-1716-3f00-9b32-98146ea4e127/argo-is-using-derivatives-to.html,1
7,Bitcoin Traces an Ominous Chart Pattern Evoking Plunge in June,https://finance.yahoo.com/news/bitcoin-traces-ominous-chart-pattern-043246942.html,1
8,"GameStop NFT marketplace goes live, gets closer to Web3 gaming",https://finance.yahoo.com/news/gamestop-nft-marketplace-goes-live-040441128.html,1
9,"Brazilian Fintech PicPay to Launch Crypto Exchange, Real-Tied Stablecoin",https://finance.yahoo.com/news/brazilian-fintech-picpay-launch-crypto-034631806.html,1
10,Bitcoin miners in Texas halt operations amid heat wave,https://finance.yahoo.com/news/bitcoin-miners-texas-halt-operations-031048059.html,1
11,Why Singapore needs to rethink its approach to regulating crypto,https://finance.yahoo.com/news/why-singapore-needs-rethink-approach-030200037.html,1
12,G20 Finance Regulator to Propose ‘Robust’ Crypto Framework by October,https://finance.yahoo.com/news/g20-finance-regulator-propose-robust-015008941.html,1
13,Bitcoin (BTC) Fear & Greed Index Hits Reverse as Risk Aversion Spreads,https://finance.yahoo.com/news/bitcoin-btc-fear-greed-index-012234893.html,1
14,"Bitcoin price sinks below US$20K, erases weekly progress",https://finance.yahoo.com/news/bitcoin-price-sinks-below-us-012051155.html,1
15,Crypto Market Daily Highlights – SOL and DOGE Sink in Bearish Session,https://finance.yahoo.com/news/crypto-market-daily-highlights-sol-003543573.html,1
16,"Bitcoin Falls a Fourth Day to About $20,000 Amid Dollar Strength",https://finance.yahoo.com/news/bitcoin-falls-fourth-day-20-002732059.html,1
17,First Mover Asia: Does Anyone Care Anymore If Bitcoin Dips Below $20K?,https://finance.yahoo.com/news/first-mover-asia-does-anyone-001535110.html,1
18,GameStop launches NFT platform amid broader company shakeup,https://finance.yahoo.com/news/game-stop-launches-nft-platform-211953815.html,1
19,Bitcoin Miners Shut Off Rigs as Texas Power Grid Nears Brink,https://finance.yahoo.com/news/bitcoin-miners-shut-off-rigs-160908936.html,1
20,GameStop’s NFT Marketplace Goes Live,https://finance.yahoo.com/news/gamestop-nft-marketplace-goes-live-202000065.html,1
21,Celsius Repays $113 Million of Loans as Crypto Lender Fights Insolvency,https://finance.yahoo.com/news/celsius-repays-113-million-loans-201732268.html,1
22,Market Wrap: Bitcoin Retraces Gains as Investors Await Inflation Announcement,https://finance.yahoo.com/news/market-wrap-bitcoin-retraces-gains-201645149.html,1
23,Will be right back...,https://finance.yahoo.com/noticias/regulador-internacional-iosco-enfocar%C3%A1-reglas-194927158.html,1
24,The founders of bankrupt crypto hedge fund Three Arrows Capital are reportedly not cooperating with liquidators and their whereabouts are unknown,https://finance.yahoo.com/news/founders-bankrupt-crypto-hedge-fund-190126380.html,1
25,Citron's Left says crypto is a 'complete fraud',https://finance.yahoo.com/news/citrons-left-says-crypto-complete-183613359.html,1
26,Shiba Inu and Dogecoin Follow the Bears Falling by More Than 6%,https://finance.yahoo.com/news/shiba-inu-dogecoin-bears-falling-183417204.html,1
27,A Saudi Arabia-Themed NFT Collection is the Latest Free-to-Mint Hit,https://finance.yahoo.com/news/saudi-arabia-themed-nft-collection-182118547.html,1
28,XMR Keeps the Bulls Alive With a 5.6% Rally As Bitcoin Falls to $20K,https://finance.yahoo.com/news/xmr-keeps-bulls-alive-5-174915805.html,1
29,Will be right back...,https://finance.yahoo.com/m/860be937-c218-3005-9366-1e535834f060/texas-crypto-mining-firms.html,1
30,Will be right back...,https://finance.yahoo.com/m/b1e32794-4a82-3db7-bb6f-3afaf8fbc1d6/opinion-crypto-liquidity.html,1
